,$,private,public,rpar,lpar,id,dot,float,integer,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,eof,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,attribute,constructorkeyword,arrow,function,localvar,rsqbr,lsqbr,sr,not,floatlit,intlit,class,equal,or
IDNEST,,,,,,,IDNEST → SEMACT2 dot id SEMACT1 IDNEST2 SEMACT23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST2,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → lpar APARAMS rpar,,IDNEST2 → REPTIDNEST1,,,IDNEST2 → REPTIDNEST1,,,,,,,,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,,,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,,,,,,IDNEST2 → REPTIDNEST1
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → SEMACT2 lsqbr ARITHEXPR rsqbr SEMACT24,,,,,,,
LOCALVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → SEMACT2 localvar id SEMACT1 colon TYPE ARRAYOROBJECT semi SEMACT4,,,,,,,,,
LOCALVARORSTAT,,,,,,LOCALVARORSTAT → STATEMENT,,,,,LOCALVARORSTAT → STATEMENT,LOCALVARORSTAT → STATEMENT,LOCALVARORSTAT → STATEMENT,LOCALVARORSTAT → STATEMENT,,,LOCALVARORSTAT → STATEMENT,,,,,,,,,,,,,,,,,,,,,,,LOCALVARORSTAT → LOCALVARDECL,,,,,,,,,
MEMBERDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → SEMACT2 SEMACT1 MEMBERVARDECL SEMACT9,MEMBERDECL → SEMACT2 SEMACT1 MEMBERFUNCDECL SEMACT8,,MEMBERDECL → SEMACT2 SEMACT1 MEMBERFUNCDECL SEMACT8,,,,,,,,,,
MEMBERFUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCDECL → MEMBERFUNCHEAD semi,,MEMBERFUNCDECL → MEMBERFUNCHEAD semi,,,,,,,,,,
MEMBERFUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCHEAD → constructorkeyword colon lpar FPARAMS rpar,,MEMBERFUNCHEAD → function id SEMACT1 colon lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,
MEMBERVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERVARDECL → attribute id SEMACT1 colon TYPE SEMACT2 REPTARRAYSIZE SEMACT3 semi,,,,,,,,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and SEMACT1,MULTOP → div SEMACT1,MULTOP → mult SEMACT1,,,,,,,,,,,,,,,
OPTINHERITS,,,,,,,,,,,,,,,,,,,OPTINHERITS → &epsilon,,,,,,,,,,,,OPTINHERITS → isa id SEMACT1 REPTINHERITSLIST,,,,,,,,,,,,,,,,,,
PROG,,,,,,,,,,,,,,,,,,,,PROG → SEMACT2 REPTPROG0,,,,,,,,,,,,,,,,,,,PROG → SEMACT2 REPTPROG0,,,,,,,,PROG → SEMACT2 REPTPROG0,,
RELEXPR,,,,,RELEXPR → SEMACT2 ARITHEXPR RELOP ARITHEXPR SEMACT27,RELEXPR → SEMACT2 ARITHEXPR RELOP ARITHEXPR SEMACT27,,,,,,,,,,,,,,,RELEXPR → SEMACT2 ARITHEXPR RELOP ARITHEXPR SEMACT27,RELEXPR → SEMACT2 ARITHEXPR RELOP ARITHEXPR SEMACT27,,,,,,,,,,,,,,,,,,,,,,RELEXPR → SEMACT2 ARITHEXPR RELOP ARITHEXPR SEMACT27,RELEXPR → SEMACT2 ARITHEXPR RELOP ARITHEXPR SEMACT27,RELEXPR → SEMACT2 ARITHEXPR RELOP ARITHEXPR SEMACT27,,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,,,RELOP → geq SEMACT1,RELOP → leq SEMACT1,RELOP → gt SEMACT1,RELOP → lt SEMACT1,RELOP → neq SEMACT1,RELOP → eq SEMACT1,,,,,,,,,,,,,,,,,,,
REPTAPARAMS1,,,,REPTAPARAMS1 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTAPARAMS1 → APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,,,,
REPTARRAYSIZE,,,,,,,,,,REPTARRAYSIZE → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTARRAYSIZE → ARRAYSIZE REPTARRAYSIZE,,,,,,,
REPTFPARAMS3,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → ARRAYSIZE REPTFPARAMS3,,,,,,,
REPTFPARAMS4,,,,REPTFPARAMS4 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTFPARAMS4 → FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → ARRAYSIZE REPTFPARAMSTAIL4,,,,,,,
REPTIDNEST1,,,,REPTIDNEST1 → &epsilon,,,REPTIDNEST1 → &epsilon,,,REPTIDNEST1 → &epsilon,,,,,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → INDICE REPTIDNEST1,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon
REPTINHERITSLIST,,,,,,,,,,,,,,,,,,,REPTINHERITSLIST → &epsilon,,,,,REPTINHERITSLIST → comma id REPTINHERITSLIST,,,,,,,,,,,,,,,,,,,,,,,,,
REPTLOCALVARORSTAT,,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,,,,,,,
REPTMEMBERDECL,,REPTMEMBERDECL → VISIBILITY MEMBERDECL REPTMEMBERDECL,REPTMEMBERDECL → VISIBILITY MEMBERDECL REPTMEMBERDECL,,,,,,,,,,,,,,,REPTMEMBERDECL → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTPROG0,,,,,,,,,,,,,,,,,,,,REPTPROG0 → &epsilon,,,,,,,,,,,,,,,,,,,REPTPROG0 → CLASSDECLORFUNCDEF REPTPROG0,,,,,,,,REPTPROG0 → CLASSDECLORFUNCDEF REPTPROG0,,
REPTSTATBLOCK1,,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLE,,,,REPTVARIABLE → &epsilon,,,REPTVARIABLE → VARIDNEST REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLEORFUNCTIONCALL,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,REPTVARIABLEORFUNCTIONCALL → IDNEST REPTVARIABLEORFUNCTIONCALL,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon
RETURNTYPE,,,,,,RETURNTYPE → TYPE,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,,RETURNTYPE → void SEMACT1,,,,,,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR → SEMACT2 ADDOP TERM SEMACT29 RIGHTRECARITHEXPR,RIGHTRECARITHEXPR → SEMACT2 ADDOP TERM SEMACT29 RIGHTRECARITHEXPR,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,RIGHTRECARITHEXPR → SEMACT2 ADDOP TERM SEMACT29 RIGHTRECARITHEXPR
RIGHTRECTERM,,,,RIGHTRECTERM → &epsilon,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → SEMACT2 MULTOP FACTOR SEMACT31 RIGHTRECTERM,RIGHTRECTERM → SEMACT2 MULTOP FACTOR SEMACT31 RIGHTRECTERM,RIGHTRECTERM → SEMACT2 MULTOP FACTOR SEMACT31 RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,RIGHTRECTERM → &epsilon
SIGN,,,,,,,,,,,,,,,,,,,,,SIGN → minus,SIGN → plus,,,,,,,,,,,,,,,,,,,,,,,,,,,
START,,,,,,,,,,,,,,,,,,,,START → PROG SEMACT19 eof,,,,,,,,,,,,,,,,,,,START → PROG SEMACT19 eof,,,,,,,,START → PROG SEMACT19 eof,,
STATBLOCK,,,,,,STATBLOCK → STATEMENT,,,,STATBLOCK → &epsilon,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → &epsilon,,STATBLOCK → STATEMENT,,STATBLOCK → lcurbr REPTSTATBLOCK1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,,,STATEMENT → id SEMACT1 STATEMENTIDNEST semi,,,,,STATEMENT → SEMACT2 return lpar EXPR rpar semi SEMACT18,STATEMENT → SEMACT2 write lpar EXPR rpar semi SEMACT16,STATEMENT → SEMACT2 read lpar VARIABLE rpar semi SEMACT17,STATEMENT → SEMACT2 while lpar RELEXPR rpar STATBLOCK semi SEMACT14,,,STATEMENT → SEMACT2 if lpar RELEXPR rpar then STATBLOCK else STATBLOCK semi SEMACT15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST,,,,,STATEMENTIDNEST → lpar APARAMS rpar STATEMENTIDNEST2,,STATEMENTIDNEST → SEMACT2 dot id SEMACT1 STATEMENTIDNEST SEMACT28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST → INDICE REPTIDNEST1 STATEMENTIDNEST3,,,,,,STATEMENTIDNEST → SEMACT2 ASSIGNOP EXPR SEMACT30,
STATEMENTIDNEST2,,,,,,,STATEMENTIDNEST2 → SEMACT2 dot id SEMACT1 STATEMENTIDNEST SEMACT28,,,STATEMENTIDNEST2 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST3,,,,,,,STATEMENTIDNEST3 → SEMACT2 dot id SEMACT1 STATEMENTIDNEST SEMACT28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST3 → SEMACT2 ASSIGNOP EXPR SEMACT30,
TERM,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,
TYPE,,,,,,TYPE → id SEMACT1,,TYPE → float SEMACT1,TYPE → integer SEMACT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,,,VARIABLE → id VARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE2,,,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,VARIABLE2 → lpar APARAMS rpar VARIDNEST,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,,,,,,,
VARIDNEST,,,,,,,VARIDNEST → dot id VARIDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIDNEST2,,,,VARIDNEST2 → REPTIDNEST1,VARIDNEST2 → lpar APARAMS rpar VARIDNEST,,VARIDNEST2 → REPTIDNEST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIDNEST2 → REPTIDNEST1,,,,,,,
VISIBILITY,,VISIBILITY → private,VISIBILITY → public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
